,Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
78,Indonesia,755256.0,892590,919002,916646,891051,860741,932066,1015488,1042711,1119452
79,Iran,517899.0,625430,421882,428321,460809,408288,458042,486829,246318,241658
80,Iraq,138517.0,185750,218032,234638,234651,177634,167807,192343,227186,234019
81,Ireland,222096.0,238959,225771,238344,259237,291805,299009,336259,385911,399366
82,Israel,238364.0,266792,262283,297733,314330,303414,322103,358246,376692,402470
83,Italy,2137845.0,2294591,2088280,2141954,2162567,1836824,1876554,1961104,2092881,2011524
84,Jamaica,13193.0,14413,14765,14213,13865,14154,14108,14755,15648,15808
85,Japan,5759072.0,6233148,6272362,5212328,4896995,4444931,5003678,4930837,5040881,5117995
86,Jordan,27134.0,29524,31679,34503,36900,38642,39949,41667,43432,45058
87,Kazakhstan,148047.0,192626,207999,236635,221416,184388,137289,166806,179340,181667
88,Kenya,45406.0,46869,56397,61671,68286,70120,74815,82037,92203,100378
89,Kiribati,156.0,181,190,185,178,171,179,188,196,175
90,South Korea,1143568.0,1253419,1278046,1370633,1484489,1466039,1499362,1623074,1725373,1651423
91,Kosovo,5348.0,6340,6167,6735,7076,6296,6681,7178,7882,7900
92,Kuwait,115401.0,154020,174066,174179,162695,114606,109381,120687,138202,136192
93,Kyrgyzstan,4794.0,6198,6604,7335,7467,6678,6813,7703,8271,8872
94,Laos,7506.0,8964,10194,11972,13266,14418,15905,17055,18131,18770
95,Latvia,23998.0,27740,28191,30210,31395,27266,28076,30473,34445,34348
96,Lebanon,38444.0,39927,44017,46880,48096,49929,51148,53028,54901,50880
97,Lesotho,2356.0,2571,2465,2345,2477,2202,2206,2424,2484,2375
98,Liberia,1966.0,2340,2675,3044,3090,3092,3256,3321,3264,3080
99,Libya,75381.0,48170,92542,75352,57373,48718,49913,67155,76681,69241
100,Lithuania,37195.0,43584,42952,46537,48611,41440,43035,47742,53776,54758
101,Luxembourg,56260.0,61686,59814,65204,68823,60078,62200,65689,71033,69833
102,Macau,28242.0,36844,43190,51536,54903,45048,45071,50441,55285,55205
103,Madagascar,9983.0,11552,11579,12424,12523,11323,11849,13176,13760,14105
104,Malawi,9796.0,11241,8421,7648,8526,9014,7733,8943,9882,11031
105,Malaysia,258844.0,302643,319153,328074,343088,301360,301918,319249,358994,365283
106,Maldives,2588.0,2629,2885,3286,3690,4098,4367,4747,5294,5598
107,Mali,10698.0,12993,12450,13243,14369,13106,14022,15360,17079,17281
108,Malta,9043.0,9637,9468,10551,11629,11093,11665,13480,15305,15883
109,Marshall Islands,160.0,172,181,185,182,184,201,212,222,236
110,Mauritania,5637.0,6782,6721,7331,6615,6182,6414,6826,7472,8065
111,Mauritius,10138.0,11673,11826,12293,13074,12007,12594,13714,14736,14436
112,Mexico,1057801.0,1180487,1201094,1274444,1315356,1171870,1078493,1158912,1222406,1269010
113,Federated States of Micronesia,297.0,311,327,317,319,316,332,367,402,416
114,Moldova,6977.0,8417,8708,9496,9510,7726,8072,9515,11252,11737
115,Mongolia,7185.0,10410,12278,12582,12227,11620,11154,11481,13207,14206
116,Montenegro,4146.0,4544,4090,4466,4595,4055,4376,4855,5509,5543
117,Morocco,100881.0,109705,106345,115608,119131,110414,111573,118541,127341,128920
118,Mozambique,11105.0,14382,16351,16974,17716,15951,11937,13219,14845,15390
119,Myanmar,38084.0,53916,59000,60903,63153,62655,60090,61267,66699,68802
120,Namibia,11281.0,12423,13016,12168,12434,11450,10719,12883,13676,12539
121,Nauru,48.0,66,101,94,99,85,97,109,131,125
122,Nepal,18250.0,21682,21703,22161,22722,24361,24524,28972,33112,34186
123,Netherlands,848073.0,905111,839455,877186,892398,765650,783844,833575,914458,910295
124,New Zealand,145362.0,166939,175037,187139,200159,176213,185898,203558,209623,210828
125,Nicaragua,8759.0,9774,10532,10983,11880,12757,13286,13786,13025,12611
126,Niger,7838.0,8754,9412,10206,10830,9684,10350,11181,12814,12917
127,Nigeria,369062.0,414095,460952,514966,568499,492437,404649,375745,421737,448120
128,North Macedonia,9415.0,10499,9751,10824,11378,10067,10686,11336,12694,12609
129,Norway,431052.0,501361,512777,526014,501737,388160,370957,401745,439789,408743
130,Oman,64994.0,77497,87409,89936,92699,78711,75129,80857,91505,88061
131,Pakistan,199405.0,240385,252534,260257,275063,304481,313623,339229,356163,321071
132,Palau,184.0,195,215,226,246,284,303,290,288,281
133,Panama,29440.0,34686,40430,45600,49921,54092,57908,62203,64929,66984
134,Papua New Guinea,14251.0,17985,21295,21261,23211,21723,20759,22743,24110,24751
135,Paraguay,27129.0,33737,33296,38651,40378,36211,36090,38997,40225,37925
136,Peru,148945.0,170923,193100,202584,202880,192025,195463,215681,226795,232345
137,Philippines,208369.0,234217,261920,283903,297484,306446,318627,328481,346842,376823
138,Poland,475697.0,524374,495230,515762,539212,476788,469650,524780,588804,595968
139,Portugal,238308.0,245075,216361,226437,229961,199414,206369,221280,242423,240013
140,Puerto Rico,98381.0,100352,101565,102450,102446,103376,104337,103446,100958,105126
141,Qatar,119707.0,167775,186834,198728,206225,161740,151732,161099,183335,176371
142,Romania,170294.0,192835,179243,189830,199981,177877,185334,210529,243498,250993
143,Russia,1633111.0,2046621,2191484,2288428,2048836,1356704,1280648,1575140,1653006,1695724
144,Rwanda,6122.0,6881,7651,7816,8235,8542,8691,9253,9643,10355
145,Samoa,680.0,744,773,798,797,824,844,885,878,913
146,San Marino,1883.0,1813,1606,1678,1674,1420,1468,1528,1656,1616
147,São Tomé and Príncipe,197.0,233,253,303,349,318,348,376,416,431
148,Saudi Arabia,528207.0,676635,741850,753864,766606,669485,665999,714994,846584,838565
149,Senegal,16134.0,17811,17672,18919,19802,17777,19035,20989,23127,23405
150,Serbia,41369.0,49280,43300,48394,47062,39656,40693,44179,50641,51514
151,Seychelles,970.0,1018,1060,1328,1388,1416,1490,1573,1629,1683
152,Sierra Leone,2578.0,2942,3802,4916,5007,4252,3855,3713,4085,4074
153,Singapore,239808.0,279357,295093,307576,314864,307999,319030,343273,376870,376837
154,Slovakia,91237.0,99905,94684,98937,101463,88910,89928,95616,106186,105732
155,Slovenia,48248.0,51575,46607,48416,50010,43112,44754,48572,54202,54338
156,Solomon Islands,847.0,1050,1185,1286,1336,1308,1379,1470,1615,1619
157,Somalia,,3917,4042,4577,5025,5335,5534,5609,5856,6485
158,South Africa,417315.0,458708,434400,400877,381195,346663,323493,381317,403991,388446
159,South Sudan,,17340,11267,14947,15179,15326,2899,1804,3118,4044
160,Spain,1423270.0,1480450,1325590,1355599,1372174,1196278,1233215,1312782,1422347,1394474
161,Sri Lanka,58643.0,67725,70392,76934,82483,85091,88000,94376,94484,89015
162,Saint Kitts and Nevis,779.0,836,826,875,954,958,1009,1061,1077,1108
163,Saint Lucia,1482.0,1568,1598,1660,1749,1807,1865,1997,2057,2094
164,Saint Vincent and the Grenadines,720.0,714,730,765,771,787,814,844,884,911
165,Sudan,65716.0,66448,48948,52892,60726,64534,64888,48906,33432,33564
166,Suriname,4677.0,4735,5332,5510,5612,5126,3317,3592,3996,3984
167,Sweden,495813.0,574094,552484,586842,581964,505104,515655,541019,555455,533880
168,Switzerland,598226.0,715644,686373,706404,726684,693937,687550,695258,725766,721824
169,Syria,60043.0,60043,60043,60043,60043,60043,60043,60043,60043,60043
170,Taiwan,444281.0,483974,495610,512943,535328,534515,543081,590733,609198,611396
171,Tajikistan,5642.0,6523,7592,8506,9242,7857,6994,7535,7762,8301
172,Tanzania,31533.0,34067,39651,45681,50002,47384,49774,53227,56699,60701
173,Thailand,340928.0,370929,397722,420364,407373,401142,413497,456523,506547,543923
174,Timor-Leste,882.0,1042,1160,1396,1447,1594,1651,1596,1564,2029
175,Togo,4630.0,5223,5229,5831,6174,5641,6030,6393,7115,7221
176,Tonga,367.0,415,471,451,440,437,421,460,481,511
