,Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Afghanistan,,,4367.0,4553.0,5146.0,6167.0,6925.0,8556.0,10297.0,12066.0
1,Albania,3483.0,3928.0,4348.0,5611.0,7185.0,8052.0,8896.0,10677.0,12881.0,12044.0
2,Algeria,54749.0,54745.0,56761.0,67864.0,85332.0,103198.0,117027.0,134977.0,171001.0,137211.0
3,Andorra,1429.0,1547.0,1758.0,2362.0,2896.0,3158.0,3456.0,3952.0,4082.0,3675.0
4,Angola,11166.0,10930.0,15286.0,17813.0,23552.0,36971.0,52381.0,65266.0,88539.0,70307.0
5,Antigua and Barbuda,826.0,800.0,814.0,856.0,920.0,1023.0,1158.0,1313.0,1370.0,1228.0
6,Argentina,317759.0,300421.0,112458.0,142431.0,164911.0,199273.0,232892.0,287921.0,363545.0,334633.0
7,Armenia,1912.0,2118.0,2376.0,2807.0,3577.0,4900.0,6384.0,9206.0,11662.0,8648.0
8,Aruba,1873.0,1896.0,1962.0,2044.0,2255.0,2360.0,2470.0,2678.0,2843.0,2554.0
9,Australia,399960.0,377780.0,425288.0,541063.0,658572.0,735940.0,782797.0,949526.0,1056487.0,1000801.0
10,Austria,197377.0,197510.0,214243.0,262208.0,301321.0,316267.0,336298.0,389231.0,432005.0,401323.0
11,Azerbaijan,5273.0,5475.0,6232.0,7276.0,8682.0,13273.0,21027.0,33090.0,48979.0,44289.0
12,Bahamas,8076.0,8318.0,8881.0,8870.0,9055.0,9836.0,10167.0,10618.0,10526.0,9982.0
13,Bahrain,9063.0,9189.0,9594.0,11075.0,13150.0,15969.0,18505.0,21730.0,25711.0,22938.0
14,Bangladesh,61687.0,62537.0,65036.0,71755.0,77152.0,79530.0,86028.0,95374.0,109765.0,122760.0
15,Barbados,3059.0,3055.0,3106.0,3210.0,3444.0,3820.0,4217.0,4674.0,4785.0,4466.0
16,Belarus,10785.0,12778.0,15092.0,18420.0,23928.0,31239.0,38219.0,46815.0,62798.0,50855.0
17,Belgium,236897.0,236748.0,258200.0,318004.0,369047.0,385927.0,408281.0,470978.0,517270.0,482730.0
18,Belize,1116.0,1163.0,1233.0,1298.0,1390.0,1462.0,1581.0,1696.0,1729.0,1681.0
19,Benin,3522.0,3666.0,4191.0,5348.0,6187.0,6571.0,7034.0,8170.0,9787.0,9728.0
20,Bhutan,423.0,441.0,481.0,572.0,649.0,758.0,812.0,995.0,1260.0,1184.0
21,Bolivia,8385.0,8155.0,7917.0,8092.0,8785.0,9573.0,11520.0,13216.0,16792.0,17464.0
22,Bosnia and Herzegovina,5554.0,5784.0,6711.0,8477.0,10157.0,10935.0,12460.0,15323.0,18712.0,17601.0
23,Botswana,5682.0,5460.0,5395.0,7469.0,8819.0,9833.0,9919.0,10566.0,10731.0,10118.0
24,Brazil,655454.0,559982.0,509798.0,558232.0,669290.0,891633.0,1107628.0,1397114.0,1695855.0,1669204.0
25,Brunei,6650.0,6206.0,6475.0,7266.0,8723.0,10561.0,12710.0,13571.0,15975.0,11893.0
26,Bulgaria,13246.0,14183.0,16403.0,21146.0,26158.0,29868.0,34380.0,44432.0,54476.0,52024.0
27,Burkina Faso,2970.0,3190.0,3620.0,4740.0,5449.0,6150.0,6548.0,7627.0,9450.0,9440.0
28,Burundi,870.0,877.0,825.0,785.0,915.0,1117.0,1273.0,1356.0,1612.0,1775.0
29,Cape Verde,609.0,616.0,679.0,891.0,1023.0,1091.0,1237.0,1513.0,1788.0,1698.0
30,Cambodia,3667.0,3992.0,4289.0,4665.0,5334.0,6286.0,7267.0,8630.0,10341.0,10391.0
31,Cameroon,10245.0,10950.0,12369.0,15944.0,18803.0,19534.0,20912.0,23931.0,27712.0,27903.0
32,Canada,744631.0,738968.0,760149.0,895599.0,1026473.0,1173505.0,1319356.0,1468896.0,1552864.0,1376509.0
33,Central African Republic,868.0,899.0,983.0,1188.0,1310.0,1413.0,1538.0,1755.0,2033.0,2059.0
34,Chad,1572.0,1936.0,2257.0,3102.0,5003.0,6676.0,7451.0,8687.0,10430.0,9315.0
35,Chile,78250.0,71517.0,70295.0,76508.0,99079.0,122315.0,153840.0,172565.0,179663.0,171794.0
36,China,1205532.0,1333649.0,1465829.0,1656962.0,1949446.0,2290019.0,2754149.0,3555655.0,4577280.0,5088992.0
37,Colombia,99270.0,97606.0,97353.0,94072.0,116382.0,145601.0,161793.0,206230.0,242504.0,232469.0
38,Comoros,339.0,373.0,427.0,547.0,622.0,656.0,689.0,796.0,916.0,904.0
39,Democratic Republic of the Congo,19077.0,7246.0,8720.0,9022.0,10275.0,12720.0,15403.0,18598.0,22665.0,18626.0
40,Republic of the Congo,3624.0,3038.0,3330.0,3863.0,5101.0,6654.0,8073.0,8784.0,11649.0,9713.0
41,Costa Rica,15016.0,15979.0,16584.0,17277.0,18615.0,20049.0,22717.0,26885.0,30802.0,30746.0
42,Ivory Coast,14829.0,15455.0,17103.0,21160.0,22870.0,23594.0,24582.0,28108.0,33554.0,33593.0
43,Croatia,22140.0,23062.0,26742.0,35247.0,41837.0,45053.0,49533.0,59180.0,68336.0,61872.0
44,Cyprus,9988.0,10397.0,11422.0,14552.0,17328.0,18713.0,20422.0,24082.0,27955.0,26020.0
