,Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
45,Czech Republic,61823.0,67809.0,82184.0,100125.0,119815.0,137143.0,156264.0,189988.0,237131.0,207558.0
46,Denmark,164158.0,164791.0,178635.0,218097.0,251375.0,264467.0,282886.0,319424.0,353359.0,321243.0
47,Djibouti,780.0,811.0,837.0,881.0,935.0,995.0,1079.0,1190.0,1381.0,1425.0
48,Dominica,333.0,340.0,333.0,343.0,367.0,364.0,390.0,421.0,458.0,489.0
49,Dominican Republic,24306.0,25602.0,27249.0,21518.0,22506.0,35948.0,37998.0,44067.0,48206.0,48319.0
50,Ecuador,18319.0,24468.0,28549.0,32433.0,36592.0,41507.0,46802.0,51008.0,61763.0,62520.0
51,Egypt,104752.0,102273.0,90261.0,85163.0,82855.0,94127.0,112902.0,137055.0,170797.0,198316.0
52,El Salvador,11785.0,12283.0,12664.0,13244.0,13725.0,14698.0,16000.0,17012.0,17987.0,17602.0
53,Equatorial Guinea,1159.0,1674.0,2071.0,3768.0,5954.0,8187.0,10095.0,13089.0,19830.0,15088.0
54,Eritrea,547.0,582.0,564.0,673.0,858.0,850.0,937.0,1020.0,923.0,1297.0
55,Estonia,5707.0,6269.0,7391.0,9891.0,12158.0,14126.0,17047.0,22476.0,24433.0,19693.0
56,Eswatini,1739.0,1544.0,1436.0,2198.0,2774.0,3177.0,3293.0,3465.0,3298.0,3596.0
57,Ethiopia,8167.0,8103.0,7828.0,8604.0,10122.0,12387.0,15310.0,19329.0,26250.0,28672.0
58,Fiji,1824.0,1798.0,1996.0,2509.0,2954.0,3257.0,3361.0,3688.0,3816.0,3106.0
59,Finland,126075.0,129534.0,140305.0,171609.0,197390.0,204999.0,217101.0,256408.0,285685.0,253222.0
60,France,1366243.0,1377667.0,1500348.0,1844083.0,2118671.0,2198160.0,2320659.0,2660905.0,2929983.0,2697955.0
61,Gabon,5397.0,5023.0,5332.0,6510.0,7767.0,9468.0,10164.0,12457.0,15570.0,12188.0
62,Gambia,1010.0,1002.0,887.0,843.0,962.0,1028.0,1054.0,1280.0,1562.0,1450.0
63,Georgia,3144.0,3311.0,3493.0,4103.0,5269.0,6590.0,7979.0,10458.0,13158.0,11069.0
64,Germany,1948843.0,1945804.0,2077016.0,2501014.0,2813076.0,2848438.0,2994862.0,3425982.0,3744854.0,3407557.0
65,Ghana,11470.0,12234.0,14205.0,17528.0,20302.0,24600.0,28883.0,34044.0,38659.0,34601.0
66,Greece,131082.0,135160.0,153152.0,200613.0,238823.0,245920.0,271254.0,316250.0,352866.0,328156.0
67,Grenada,520.0,520.0,540.0,591.0,599.0,695.0,699.0,759.0,826.0,771.0
68,Guatemala,18124.0,19735.0,21924.0,23092.0,24977.0,28179.0,31308.0,35028.0,40242.0,37997.0
69,Guinea,4039.0,3806.0,4022.0,4759.0,5012.0,4506.0,4178.0,6317.0,6966.0,6753.0
70,Guinea-Bissau,392.0,413.0,466.0,553.0,582.0,640.0,635.0,753.0,953.0,889.0
71,Guyana,1497.0,1504.0,1555.0,1592.0,1657.0,1712.0,1899.0,2225.0,2491.0,2596.0
72,Haiti,6810.0,6285.0,6064.0,4866.0,6037.0,7186.0,7507.0,9522.0,10488.0,11598.0
73,Honduras,7187.0,7651.0,7858.0,8230.0,8869.0,9757.0,10917.0,12361.0,13882.0,14587.0
74,Hong Kong,171643.0,169381.0,166336.0,161370.0,169085.0,181556.0,193515.0,211583.0,219279.0,214048.0
75,Hungary,47218.0,53750.0,67609.0,85285.0,104121.0,113211.0,115716.0,140187.0,158326.0,131069.0
76,Iceland,9026.0,8235.0,9318.0,11429.0,13825.0,16853.0,17465.0,21653.0,18075.0,13154.0
77,India,476610.0,493953.0,523970.0,618358.0,721589.0,834217.0,949117.0,1238700.0,1224096.0,1365373.0
78,Indonesia,179482.0,174507.0,212807.0,255428.0,279556.0,310815.0,396293.0,470144.0,558582.0,577539.0
79,Iran,366917.0,330978.0,132682.0,158416.0,188961.0,228428.0,272361.0,360928.0,425699.0,440408.0
80,Iraq,25857.0,18936.0,18970.0,15800.0,36642.0,50065.0,65144.0,88833.0,131614.0,111660.0
81,Ireland,100253.0,109347.0,128505.0,164630.0,194283.0,211993.0,232193.0,270112.0,275417.0,236185.0
82,Israel,136034.0,134637.0,125060.0,131299.0,139974.0,147084.0,158670.0,184053.0,220530.0,211968.0
83,Italy,1147183.0,1168032.0,1275867.0,1577228.0,1805723.0,1859244.0,1949657.0,2213364.0,2408392.0,2197540.0
84,Jamaica,9065.0,9195.0,9719.0,9430.0,10175.0,11233.0,11946.0,12881.0,13743.0,12107.0
85,Japan,4968360.0,4374710.0,4182845.0,4519564.0,4893135.0,4831467.0,4601663.0,4579750.0,5106679.0,5289494.0
86,Jordan,8725.0,9268.0,9972.0,10575.0,11771.0,13134.0,15795.0,17957.0,22648.0,24538.0
87,Kazakhstan,18292.0,22153.0,24637.0,30834.0,43152.0,57125.0,81003.0,104850.0,133442.0,115309.0
88,Kenya,18206.0,18697.0,19030.0,21391.0,22790.0,26308.0,29668.0,36708.0,41059.0,42347.0
89,Kiribati,68.0,63.0,72.0,91.0,103.0,112.0,110.0,133.0,144.0,134.0
90,South Korea,576483.0,547743.0,626989.0,702696.0,792532.0,934708.0,1052610.0,1172465.0,1049168.0,943739.0
91,Kosovo,2217.0,2509.0,2730.0,3390.0,3710.0,3828.0,4019.0,4868.0,5202.0,5030.0
92,Kuwait,37721.0,34886.0,38135.0,47844.0,59439.0,80807.0,101559.0,114677.0,147402.0,105992.0
93,Kyrgyzstan,1368.0,1525.0,1606.0,1920.0,2214.0,2459.0,2837.0,3807.0,5139.0,4690.0
94,Laos,1720.0,1757.0,1844.0,2260.0,2651.0,3079.0,3934.0,4757.0,5946.0,6431.0
95,Latvia,7963.0,8363.0,9564.0,11777.0,14440.0,17030.0,21589.0,31100.0,36023.0,26480.0
96,Lebanon,17018.0,17361.0,18837.0,19486.0,21160.0,21497.0,22023.0,24827.0,29119.0,35400.0
97,Lesotho,847.0,701.0,767.0,1109.0,1384.0,1484.0,1519.0,1759.0,1652.0,1937.0
98,Liberia,863.0,904.0,943.0,714.0,897.0,944.0,1109.0,1344.0,1676.0,1765.0
99,Libya,39498.0,35206.0,21128.0,27026.0,34054.0,48852.0,60094.0,68211.0,86804.0,60809.0
100,Lithuania,11525.0,12238.0,14257.0,18782.0,22624.0,26115.0,30203.0,39764.0,48030.0,37475.0
101,Luxembourg,21240.0,21388.0,23633.0,29660.0,35049.0,37693.0,42912.0,51594.0,58838.0,54408.0
102,Macau,,6860.0,7372.0,8247.0,10643.0,12160.0,14874.0,18440.0,21027.0,21588.0
103,Madagascar,4629.0,5438.0,5352.0,6372.0,5065.0,5859.0,6396.0,8525.0,10725.0,9617.0
104,Malawi,4257.0,4178.0,4922.0,4521.0,4895.0,5148.0,5630.0,6240.0,7492.0,8723.0
105,Malaysia,102149.0,101054.0,109833.0,120025.0,135869.0,150356.0,170514.0,202869.0,242080.0,212026.0
106,Maldives,801.0,767.0,828.0,1052.0,1227.0,1163.0,1575.0,1868.0,2272.0,2345.0
107,Mali,2963.0,3468.0,3905.0,4713.0,5452.0,6251.0,6906.0,8157.0,9871.0,10249.0
108,Malta,4075.0,4089.0,4478.0,5455.0,6102.0,6415.0,6811.0,7989.0,9127.0,8721.0
109,Marshall Islands,115.0,122.0,132.0,131.0,133.0,137.0,142.0,148.0,152.0,150.0
110,Mauritania,1780.0,1746.0,1777.0,2051.0,2362.0,2936.0,4009.0,4328.0,5138.0,4725.0
111,Mauritius,4935.0,4882.0,5123.0,6155.0,6962.0,6867.0,7123.0,8260.0,10125.0,9252.0
112,Mexico,707909.0,756693.0,772110.0,729335.0,782243.0,877477.0,975383.0,1052697.0,1109987.0,900047.0
113,Federated States of Micronesia,233.0,241.0,242.0,245.0,240.0,250.0,253.0,257.0,263.0,280.0
114,Moldova,1315.0,1481.0,1662.0,1981.0,2598.0,2988.0,3408.0,4401.0,6055.0,5438.0
115,Mongolia,1137.0,1268.0,1397.0,1595.0,1992.0,2523.0,3414.0,4235.0,5623.0,4584.0
116,Montenegro,966.0,1150.0,1269.0,1681.0,2073.0,2261.0,2724.0,3686.0,4564.0,4171.0
117,Morocco,42053.0,42704.0,45711.0,56345.0,64528.0,67468.0,74284.0,85539.0,100112.0,100535.0
118,Mozambique,5656.0,5399.0,5677.0,6303.0,7631.0,8542.0,9177.0,10451.0,12556.0,11914.0
119,Myanmar,7736.0,7131.0,6921.0,8881.0,10754.0,12126.0,13585.0,17855.0,25470.0,30864.0
120,Namibia,3941.0,3577.0,3396.0,4974.0,6673.0,7324.0,7711.0,8730.0,8496.0,8915.0
121,Nauru,,,,,31.0,30.0,29.0,23.0,37.0,44.0
122,Nepal,6536.0,6719.0,6816.0,7217.0,8296.0,9329.0,10314.0,11775.0,14308.0,14661.0
123,Netherlands,417664.0,431590.0,473527.0,579925.0,658081.0,685727.0,733994.0,848659.0,951766.0,870572.0
124,New Zealand,54126.0,53128.0,62061.0,82411.0,101601.0,113264.0,109739.0,134879.0,135373.0,121701.0
125,Nicaragua,5109.0,5335.0,5224.0,5322.0,5793.0,6321.0,6764.0,7423.0,8497.0,8297.0
126,Niger,2235.0,2442.0,2772.0,3382.0,3746.0,4372.0,4743.0,5716.0,7279.0,7324.0
127,Nigeria,67824.0,73128.0,93983.0,102935.0,130345.0,169645.0,222791.0,262215.0,330260.0,297458.0
128,North Macedonia,3774.0,3709.0,3991.0,4946.0,5684.0,6257.0,6860.0,8337.0,9912.0,9400.0
129,Norway,171456.0,174240.0,195915.0,229385.0,265267.0,309979.0,346914.0,402646.0,464915.0,387974.0
130,Oman,22259.0,22206.0,23066.0,24734.0,28379.0,35507.0,42578.0,48300.0,69805.0,55454.0
131,Pakistan,89651.0,87389.0,87933.0,101103.0,118844.0,132833.0,154493.0,171512.0,191425.0,188991.0
132,Palau,149.0,159.0,163.0,155.0,166.0,186.0,191.0,196.0,199.0,184.0
133,Panama,12502.0,12704.0,13204.0,13915.0,15255.0,16638.0,18438.0,21296.0,25156.0,27117.0
134,Papua New Guinea,5169.0,4531.0,4387.0,5488.0,6279.0,7339.0,8355.0,9545.0,11671.0,11619.0
135,Paraguay,8856.0,8496.0,7196.0,7691.0,9624.0,10738.0,13430.0,17856.0,24615.0,22355.0
136,Peru,50414.0,51034.0,53954.0,58537.0,66126.0,74232.0,87459.0,102187.0,121250.0,121763.0
137,Philippines,83667.0,78921.0,84307.0,87039.0,95002.0,107420.0,127653.0,155980.0,181007.0,176132.0
138,Poland,171613.0,190805.0,199070.0,217829.0,255292.0,306304.0,344627.0,429021.0,533600.0,439794.0
139,Portugal,118658.0,121605.0,134700.0,165185.0,189296.0,197363.0,208767.0,240524.0,263388.0,244402.0
140,Puerto Rico,61702.0,69669.0,72546.0,75834.0,80322.0,83915.0,87276.0,89524.0,93639.0,96386.0
141,Qatar,18085.0,17498.0,19334.0,23716.0,30651.0,44636.0,58629.0,75987.0,112621.0,88196.0
142,Romania,37447.0,40396.0,46035.0,57790.0,75059.0,98547.0,122114.0,174831.0,215568.0,174564.0
143,Russia,278264.0,328475.0,370062.0,461518.0,633294.0,817717.0,1060901.0,1393416.0,1779109.0,1307927.0
144,Rwanda,2049.0,1967.0,1961.0,2137.0,2388.0,2943.0,3317.0,4068.0,5179.0,5671.0
145,Samoa,271.0,273.0,289.0,342.0,418.0,486.0,516.0,568.0,684.0,618.0
146,San Marino,1008.0,1060.0,1148.0,1462.0,1714.0,1788.0,1910.0,2189.0,2403.0,2062.0
147,São Tomé and Príncipe,77.0,72.0,80.0,96.0,104.0,125.0,133.0,145.0,188.0,188.0
148,Saudi Arabia,189515.0,184137.0,189606.0,215807.0,258742.0,328206.0,376398.0,415687.0,519797.0,429098.0
149,Senegal,6016.0,6508.0,7001.0,8767.0,10072.0,11015.0,11699.0,13996.0,16852.0,16128.0
150,Serbia,9790.0,13009.0,17185.0,22515.0,26017.0,27496.0,32602.0,43395.0,52094.0,45156.0
151,Seychelles,615.0,622.0,698.0,706.0,839.0,919.0,1016.0,1034.0,998.0,847.0
152,Sierra Leone,941.0,1084.0,1250.0,1380.0,1439.0,1610.0,1884.0,2159.0,2511.0,2454.0
153,Singapore,96077.0,89794.0,92538.0,97646.0,115034.0,127808.0,148627.0,180942.0,193617.0,194150.0
154,Slovakia,20730.0,21421.0,24888.0,34085.0,43190.0,49116.0,57492.0,77239.0,97170.0,89302.0
155,Slovenia,20393.0,20901.0,23539.0,29673.0,34448.0,36260.0,39514.0,48073.0,55773.0,50513.0
156,Solomon Islands,420.0,410.0,346.0,353.0,398.0,477.0,539.0,620.0,699.0,736.0
157,Somalia,,,,,,,,,,
158,South Africa,151855.0,135527.0,129385.0,197017.0,256188.0,288749.0,304055.0,332650.0,316491.0,331184.0
159,South Sudan,,,,,,,,,,
160,Spain,598628.0,627834.0,708256.0,907264.0,1068570.0,1154354.0,1260466.0,1474176.0,1631685.0,1489853.0
161,Sri Lanka,20007.0,19236.0,20238.0,22352.0,24423.0,28880.0,33447.0,38270.0,48177.0,49750.0
162,Saint Kitts and Nevis,421.0,458.0,481.0,469.0,507.0,547.0,644.0,689.0,778.0,774.0
163,Saint Lucia,932.0,892.0,899.0,987.0,1066.0,1135.0,1267.0,1331.0,1427.0,1399.0
164,Saint Vincent and the Grenadines,428.0,462.0,488.0,509.0,550.0,580.0,644.0,714.0,733.0,714.0
165,Sudan,13134.0,15716.0,18137.0,21355.0,26646.0,35183.0,45264.0,59440.0,64833.0,54812.0
166,Suriname,1355.0,1167.0,1474.0,1729.0,2000.0,2393.0,2812.0,3144.0,3783.0,4150.0
167,Sweden,262834.0,242395.0,266848.0,334337.0,385119.0,392219.0,423091.0,491255.0,517706.0,436536.0
168,Switzerland,279171.0,286699.0,309499.0,362133.0,403435.0,418046.0,441642.0,490813.0,566957.0,553718.0
169,Syria,19861.0,20979.0,22758.0,21702.0,25204.0,28881.0,33824.0,40488.0,52631.0,53939.0
170,Taiwan,330680.0,299276.0,307439.0,317381.0,346924.0,374060.0,386450.0,406907.0,415901.0,390829.0
171,Tajikistan,991.0,1057.0,1212.0,1555.0,2073.0,2311.0,2811.0,3712.0,5135.0,4977.0
172,Tanzania,12369.0,12610.0,13125.0,14159.0,15576.0,17174.0,18867.0,21807.0,27762.0,28985.0
173,Thailand,126132.0,120105.0,134177.0,152142.0,172752.0,189084.0,221579.0,263007.0,290970.0,281399.0
174,Timor-Leste,367.0,477.0,470.0,490.0,441.0,462.0,454.0,543.0,648.0,727.0
175,Togo,2014.0,2000.0,2301.0,2854.0,3048.0,3080.0,3173.0,3592.0,4483.0,4554.0
176,Tonga,203.0,181.0,183.0,202.0,231.0,262.0,292.0,299.0,344.0,312.0
177,Trinidad and Tobago,8295.0,8960.0,9148.0,11464.0,13472.0,16170.0,18600.0,22006.0,28233.0,19562.0
178,Tunisia,22524.0,23146.0,24274.0,28797.0,32710.0,33851.0,36059.0,40819.0,47039.0,45593.0
179,Turkey,274321.0,202248.0,240191.0,314752.0,409127.0,506186.0,555126.0,680489.0,770820.0,648797.0
180,Turkmenistan,8487.0,11717.0,14703.0,19307.0,23991.0,29023.0,36154.0,43875.0,36363.0,34162.0
181,Tuvalu,15.0,14.0,17.0,20.0,23.0,23.0,24.0,29.0,32.0,28.0
182,Uganda,7756.0,7835.0,8425.0,8725.0,10750.0,12460.0,14079.0,17512.0,22419.0,24107.0
183,Ukraine,32331.0,37863.0,42339.0,50096.0,64747.0,85996.0,107767.0,143260.0,181313.0,117079.0
184,United Arab Emirates,103893.0,103312.0,109816.0,124346.0,147824.0,180617.0,222117.0,257916.0,315475.0,253547.0
185,United Kingdom,1669283.0,1649083.0,1788663.0,2058485.0,2424053.0,2547665.0,2713729.0,3094006.0,2962502.0,2426291.0
186,United States,10250950.0,10581925.0,10929100.0,11456450.0,12217175.0,13039200.0,13815600.0,14474250.0,14769850.0,14478050.0
187,Uruguay,24786.0,22705.0,14800.0,13103.0,14896.0,18905.0,21325.0,25495.0,33010.0,34418.0
188,Uzbekistan,17195.0,14581.0,12106.0,12697.0,15045.0,17939.0,21344.0,27963.0,35858.0,41945.0
189,Vanuatu,272.0,257.0,262.0,315.0,365.0,390.0,435.0,517.0,582.0,590.0
190,Venezuela,117596.0,123119.0,95258.0,83684.0,112254.0,143375.0,178521.0,232857.0,306764.0,268624.0
191,Vietnam,39585.0,41297.0,44563.0,50233.0,62877.0,73197.0,84301.0,98426.0,124756.0,129022.0
192,Palestine,4314.0,4004.0,3556.0,3968.0,4603.0,5126.0,5348.0,5816.0,7310.0,8086.0
193,Yemen,9679.0,9853.0,10693.0,11778.0,13868.0,16732.0,19063.0,21651.0,26911.0,25130.0
194,Zambia,3601.0,3870.0,4194.0,4902.0,6221.0,8329.0,12762.0,14060.0,17914.0,15332.0
195,Zimbabwe,11340.0,11244.0,10735.0,9574.0,9465.0,9046.0,8141.0,7785.0,6707.0,9666.0
